world_cup_year,match_id,stage,match_date,home_team,away_team,stadium,city,attendance,stadium_capacity,attendance_status,final_flag,extra_time_flag,penalty_flag,host_team_flag,opening_match_flag,avg_per_match_benchmark_m,final_benchmark_m,opening_benchmark_m,stage_weight,attendance_ratio,attendance_factor,host_factor,suspense_factor,raw_index,scale_factor,override_viewers_m,estimated_global_viewers_m,model_note,source_bridge
2010,2010_01,group stage,2010-06-11,South Africa,Mexico,Soccer City,Johannesburg,84490.0,84000,real_match_attendance,0,0,0,1,1,188.4,909.6,0.0,0.82,1.0058333333333334,1.15175,1.25,1.0,1.18054375,171.1086389255962,,202.00123425461933,Modeled from Layer A average-per-match benchmark; stage=group stage; host-team uplift; attendance-informed,Layer A global benchmarks + Dataset 1 attendance/match metadata
2010,2010_02,group stage,2010-06-11,Uruguay,France,Cape Town Stadium,Cape Town,64100.0,64000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,1.0015625,1.15046875,1.0,1.0,0.9433843749999998,171.1086389255962,,161.4212163899242,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance-informed,Layer A global benchmarks + Dataset 1 attendance/match metadata
2010,2010_03,group stage,2010-06-12,South Korea,Greece,Nelson Mandela Bay Stadium,Port Elizabeth,31513.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.7503095238095238,1.075092857142857,1.0,1.0,0.8815761428571427,171.1086389255962,,150.84529391356264,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance-informed,Layer A global benchmarks + Dataset 1 attendance/match metadata
2010,2010_04,group stage,2010-06-12,Argentina,Nigeria,Ellis Park Stadium,Johannesburg,55686.0,56000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9943928571428572,1.1483178571428572,1.0,1.0,0.9416206428571429,171.1086389255962,,161.11942658353064,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance-informed,Layer A global benchmarks + Dataset 1 attendance/match metadata
2010,2010_05,group stage,2010-06-12,England,United States,Royal Bafokeng Stadium,Rustenburg,38646.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9201428571428572,1.1260428571428571,1.0,1.0,0.9233551428571428,171.1086389255962,,157.99404173923514,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance-informed,Layer A global benchmarks + Dataset 1 attendance/match metadata
2010,2010_06,group stage,2010-06-13,Algeria,Slovenia,Peter Mokaba Stadium,Polokwane,30325.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.7220238095238095,1.0666071428571429,1.0,1.0,0.8746178571428571,171.1086389255962,,149.65467111573582,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance-informed,Layer A global benchmarks + Dataset 1 attendance/match metadata
2010,2010_07,group stage,2010-06-13,Serbia,Ghana,Loftus Versfeld Stadium,Pretoria,38833.0,43000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.903093023255814,1.1209279069767442,1.0,1.0,0.9191608837209302,171.1086389255962,,157.27636776713658,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance-informed,Layer A global benchmarks + Dataset 1 attendance/match metadata
2010,2010_08,group stage,2010-06-13,Germany,Australia,Moses Mabhida Stadium,Durban,62660.0,63000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9946031746031746,1.1483809523809523,1.0,1.0,0.9416723809523808,171.1086389255962,,161.12827941858743,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance-informed,Layer A global benchmarks + Dataset 1 attendance/match metadata
2010,2010_09,group stage,2010-06-14,Netherlands,Denmark,Soccer City,Johannesburg,83465.0,84000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9936309523809523,1.1480892857142857,1.0,1.0,0.9414332142857142,171.1086389255962,,161.08735593577774,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance-informed,Layer A global benchmarks + Dataset 1 attendance/match metadata
2010,2010_10,group stage,2010-06-14,Japan,Cameroon,Free State Stadium,Bloemfontein,30620.0,41000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.7468292682926829,1.074048780487805,1.0,1.0,0.88072,171.1086389255962,,150.6988004745511,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance-informed,Layer A global benchmarks + Dataset 1 attendance/match metadata
